Title;FonteDeRecurso;PublicoAlvo;Category
Cadeias produtivas da bioeconomia MCTI: Fomento à ICT - 01/2022;FNDCT;"ICTs ; Fundações";Tecnologia
Fomento a cadeias produtivas da bioeconomia em biomas brasileiros;FNDCT;Empresas;Tecnologia
Satélite de pequeno porte de observação da terra de alta resolução;;;Outros
Programa Mineração e Desenvolvimento;;;Outros
Tecnologia Assistiva (SISASSISTIVA-MCTI);;;Tecnologia
Finep Propriedade Intelectual;FNDCT;"ICTs ; Empresas";Outros
Combustíveis do Futuro;;;Outros
Defensivos agrícolas sustentáveis, bioinsumos, e fertilizantes;;;Outros
Edital de Cidades Inteligentes e Sustentáveis;FNDCT;Empresas;Outros
Finep Amazônia Rodada 2;;;Tecnologia
Inovação para a Base Industrial de Defesa (BID);;;Outros
CHAMADA PÚBLICA MCTI/FINEP/PROGRAMA  FINEP 2030 – Rede de ICT - 01/2022;Recursos captados com base no Programa Rota 2030;Startups;Saúde
Água para o Semiárido - Subvenção Econômica à Inovação – 05/2022;;;Outros
Programa de Aceleração Espaço Finep - 3ª Edição - 2022;;;Outros
Tecnologias para monetização do gás natural do pré-sal – 01/2022;;;Tecnologia
MCTI/Finep Startups IA – Subvenção Econômica à Inovação;;;Tecnologia
Laboratórios abertos de prototipagem e espaços compartilhados - 01/2022;FNDCT;"ICTs ; Empresas";Saúde
Edital Ambientes Controlados e Salas Limpas;CT-Infra;Instituições de Pesquisa;Infraestrutura
Prêmio Mulheres Inovadoras 3ª Edição;Próprio;Empresas;Saúde
Protótipo de foguete de capacitação – Foguetes de Treinamento;;;Educação
Ensaios clínicos de vacinas contra a COVID-19;;;Outros
Bioeconomia e Transformação Digital da Amazônia (Finep Amazônia);;;Tecnologia
Infraestrutura de pesquisa em unidades vinculadas ao MCTI;FNDCT;Instituições de Pesquisa;Infraestrutura
Apoio financeiro a centros de inovação;FNDCT;"ICTs; Empresas";Tecnologia
Edital PROINFRA 2021;CT-Infra;Instituições de Pesquisa;Infraestrutura
Apoio financeiro a parques tecnológicos em implantação e em operação – 01/2021;FNDCT;"ICTs ; Empresas";Outros
Doenças negligenciadas, tropicais e transmitidas por vetores e outras doenças com populações desassistidas 02/2021;;;Saúde
Edital SOS Equipamentos 2021 AV02;Ação Transversal FNDCT;Instituições de Pesquisa;Infraestrutura
Programa de Aceleração Espaço Finep - 2ª Edição - 01/2021;Recursos Próprios;Empresas;Saúde
Edital SOS Equipamentos 2021 AV01;FNDCT;Instituições de Pesquisa;Infraestrutura
PROGRAMA FINEP 2030 – Rede de ICT - 01/2020;Recursos captados com base no Programa Rota 2030;"ICTs ; Empresas";Tecnologia
3ª Chamada Pública Conjunta entre Finep e RCN;;;Outros
Mulheres Inovadoras 2ª Edição;Próprio;Empresas;Saúde
Subvenção Econômica à Inovação – 09/2020 - PROGRAMA DESAFIO FINEP DESAFIO CIBERNÉTICO - STARTUPS E EMPRESAS DE BASE TECNOLÓGICA;Subvenção - FNDCT;"Empresas ; Startup";Tecnologia
Estruturação de Centros de Tecnologia e Inovações Aplicadas em Materiais Avançados 09/2020;;;Tecnologia
Materiais Avançados e Minerais Estratégicos;;;Outros
Subvenção Econômica à inovação- 07/2020 (Parceria com a Alemanha);FNDCT;Empresas;Tecnologia
Cooperativo ICT- 08/2020 (Parceria com a Alemanha);FNDCT;"ICT ; Empresa ; Fundação";Tecnologia
Programa de Investimento em Startups Inovadoras;Recursos Próprios;;Saúde
SOS Equipamentos 2020;Ação Transversal FNDCT;Instituições de Pesquisa;Infraestrutura
Tecnologia Assistiva 06-2020;FNDCT;Empresas;Tecnologia
Geração de Empreendimentos Inovadores - Centelha II 06/2020;"FNDCT – Subvenção Econômica ; FNDCT- Ação Transversal ; FNDCT - Ação Transversal - Bolsas";"ICT ; Empresa ; Fundações";Educação
Projetos Executivos 2020;"FNDCT ; Ação Transversal";Instituições de Pesquisa;Infraestrutura
Subvenção Econômica à Inovação – 05/2020 Materiais Avançados;;;Outros
Chamada Pública MCTI/Finep/Infraestrutura NB-3;PT: 19572.2208.21C0.6500 - Ação 21C0 (Enfrentamento da Emergência de Saúde Pública de Importância Internacional Decorrente do Coronavírus) - PO CV21;Instituições de Pesquisa;Saúde
Tecnologias 4.0;;;Tecnologia
Startups e EBT Covid19: Soluções tecnológicas inovadoras para COVID-19;;;Tecnologia
Soluções Inovadoras para o combate ao COVID-19;;;Tecnologia
EPIs e EPCs no combate do Covid-19;Fundo Nacional de Desenvolvimento Científico e Tecnológico – FNDCT até o limite de R$ 5.000.000,00 (cinco milhões de reais);Empresas;Saúde
Programa de Aceleração Espaço Finep;Recursos Próprios;Empresas;Saúde
Mulheres Inovadoras;Próprios;Empresas;Saúde
Programa de Investimento em Startups Inovadoras;Recursos Próprios;Empresas;Saúde
Programa de Investimento em Startups Inovadoras;;;Tecnologia
Edital de Seleção de Gestor para o FIP Inova Empresa - 2019;Recursos Próprios;Gestores de Fundos de Investimento em Participações;Saúde
1ª Chamada Pública Subvenção Finep-Israel - 01/2018;Subvenção econômica;Empresas;Saúde
Ação Transversal / Projetos Institucionais 02/2018;FNDCT;"Universidades ; Instituições de Pesquisa";Saúde
Ação Transversal / P&I em Saneamento  01/2018;;;Outros
Olimpíadas do Conhecimento ou Científicas 02/2018;Recursos Próprios - Finep;"ICTs ; Empresas ; Instituições de Pesquisa";Educação
ERA-MIN 2018 - Matérias-Primas para o Desenvolvimento Sustentável e Economia Circular;FNDCT;"Empresas ; Instituições de Pesquisas";Tecnologia
SOS Equipamentos - Fluxo Contínuo;Ação Transversal;Instituições de Pesquisa;Infraestrutura
Finep CT-INFRA 04/2018 - Temática;Ações Transversais;Instituições de Pesquisa;Saúde
Finep CT-INFRA 03/2018 - Manutenção;CT-Infra;Instituições de Pesquisa;Infraestrutura
Finep CT-INFRA 02/2018 - Novos campi;CT-Infra;Instituições de Pesquisa;Infraestrutura
Finep CT-INFRA 01/2018 - Complementação de obras;CT-Infra;Instituições de Pesquisa;Infraestrutura
EUREKA — Globalstars Brasil 2018;"FNDCT — Subvenção Econômica ; Recursos Próprios";Empresas;Outros
Programa de Investimento em Startups Inovadoras;Recursos próprios;Empresas;Saúde
Transferência de Tecnologia do SGDC – 01/2018;Fundo Nacional de Desenvolvimento Científico e Tecnológico - FNDCT/SUBVENÇÃO ECONÔMICA;Empresas;Tecnologia
Centelha - Geração de Empreendimentos Inovadores 01/2018;Subvenção Econômica;Empresas;Tecnologia
FINEP - TECNOVA II 01/2018;Subvenção econômica;Empresas;Outros
Olimpíadas do Conhecimento ou Científicas;;;Outros
Finep e Conselho Norueguês (RCN);;;Outros
Seleção Gestor FIP Inova Empresa;;;Outros
Chamada Pública Bilateral Finep – CDTI para Projetos de Inovação Tecnológica entre Empresas do Brasil e da Espanha;"FNDCT ; Funttel ; Recursos Próprios Finep";Empresas;Saúde
Investimento em Startups Inovadoras 2ª Rodada;;;Tecnologia
Finep e NRC (National Research Council of Canada);;;Outros
Finep/CDTI - COOPERAÇÃO ICT-EMPRESA – 01/2017;FNDCT (Ação Transversal – TR Cooperação Internacional);"ICTs ; Empresas";Energia
Programa de Investimento em Startups Inovadoras;;;Tecnologia
ERA-MIN 2 - 2017;"FNDCT ; União Europeia";"ICTs ; Empresas";Tecnologia
AMAZÔNIA LEGAL 04/2016;FNDCT;"ICTs ; Empresas";Saúde
Finep / Vinnova - Cooperação ICT-Empresa - 08/2016;FNDCT;"ICTs ; Empresas";Tecnologia
Plano de Desenvolvimento, Sustentabilidade e Inovação no Setor de Mineração e Transformação Mineral – INOVA MINERAL;;;Meio Ambiente
Apoio Institucional ao Sistema Nacional de C,T&I;;;Outros
Institutos de Pesquisa do MCTI;FNDCT;"ICTs ; Empresas";Infraestrutura
Centros Nacionais Multiusuários;FNDCT;"ICTs ; Empresas";Infraestrutura
Chamada Pública MCTI/FINEP/FNDCT 01/2016 - Zika;FNDCT;Instituições de Pesquisa;Saúde
Chamada Pública Finep e Conselho Norueguês;FNDCT;Empresas;Energia
