Title;FonteDeRecurso;PublicoAlvo;Category
Edital de Seleção Pública MCTI/AEB/FINEP/FNDCT – Subvenção Econômica à Inovação – Transferência de Tecnologia do SGDC – 01/2015;Fundo Nacional de Desenvolvimento Científico e Tecnológico - FNDCT/SUBVENÇÃO ECONÔMICA;Empresas;Tecnologia Espacial
Carta Convite MCTI/Finep 01/2014;;;
Chamada Pública MCTI/Finep/CT-Infra - Proinfra – 02/2014 – Equipamentos Multiusuários;CT-Infra;Instituições de Pesquisa;Infraestrutura de pesquisa
Chamada Pública Conjunta Finep - TEKES Projetos de P,D&I Industrial;Cooperação internacional;Empresas;Outros
Programa Finep Inovar Fundos 15ª Chamada Inovar Fundos;;;
Edital de seleção pública conjunta FINEP/BNDES de apoio à inovação tecnológica agrícola no setor sucroenergético - PAISS AGRÍCOLA - 02/2014;;;
Edital de seleção pública conjunta BNDES/FINEP de apoio à inovação tecnológica industrial no setor de petróleo & gás - Inova Petro - 01/2014;;;
Edital de seleção pública de apoio à inovação tecnológica no setor de telecomunicações - Inova Telecom - 01/2013;;;
Edital de seleção pública conjunta MMA/BNDES/FINEP de apoio à inovação tecnológica relacionada ao tema sustentabilidade - Inova Sustentabilidade - 2013;;;
Chamada Pública MCTI/SECIS/Finep/FNDCT – Cooperação ICT-Empresa – Tecnologia Assistiva – 01/2013;;;
Edital de chamada para a gestão de fundo nos setores aeroespacial, aeronáutico, defesa e segurança;;;
Carta Convite MCTI/Finep/Embrapa/AT – OEPAS – 01/2013;;;
Chamada pública MCTI/FINEP e MS/SCTIE/DCIIS – 03/2013 - Projetos Cooperativos de P, D&I em equipamentos e dispositivos médicos de interesse industrial - Inova Saúde;;;
Chamada Pública MCTI/FINEP - Chamada Pública de estudo de avaliação do projeto piloto de implantação da empresa brasileira de pesquisa e inovação industrial (Embrapi);;;
Chamada Pública MCTI/Finep CT-Hidro 01/2013;;;
Chamada Pública MCTI/Finep/MS/SCTIE/DECIIS – CT-Saúde e FNS - Pesquisa em Engenharia Biomédica – 02/2013;;;
Chamada Pública MCTI/Finep/MS/SCTIE/DECIT – CT-Saúde e FNS - Desenvolvimento de Chamada Inovações para prevenção e/ou tratamento de câncer - 01/2013;;;
Chamada Pública MCTI/Finep/Ação Transversal – Inova Empresa - PNI/Parques Tecnológicos 02/2013;;;
Finep - Programa Inovar Semente - 6ª Chamada para capitalização de fundos de capital Semente;;;
Finep - Programa Inovar Fundos - 14ª Chamada Inovar Fundos;;;
Finep - Programa de Investimento Direto - FIP Inova Empresa Chamada Pública para Seleção de Administrador para o FIP Inova Empresa;;;
Chamada Pública MCT/Finep/CT-Aquaviário - Cooperação IPCTs-Empresas - Navipeças- 01/2013;;;
Chamada Pública MCTI/FINEP/CT-INFRA - Infraestrutura em campi estaduais e municipais - 02/2013;;;
Edital de seleção pública conjunta MCTI/BNDES/FINEP de apoio à inovação tecnológica no setor de agronegócio - Inova Agro - 2013;;;
Edital de seleção pública conjunta FINEP/BNDES/MD/AEB de apoio à inovação tecnológica nos setores aeroespacial, defesa e segurança - Inova Aerodefesa - 04/2013;;;
Chamada Pública MCTI/FINEP/Ação Transversal - Infraestrutura de pesquisa em universidades comunitárias - 01/2013;;;
Edital de seleção pública conjunta FINEP/MCTI/MS/CNPq de apoio à inovação tecnológica no setor de saúde - Inova Saúde - Biofármacos, Farmoquímicos e Medicamentos - 03/2013;;;
Edital de seleção pública conjunta BNDES/FINEP/MCTI/MINISTÉRIO DA SAÚDE de apoio à inovação tecnológica no setor de equipamentos médicos e tecnologias para a saúde - Inova Saúde (Equipamentos Médicos) - 02/2013;;;
Edital de seleção pública conjunta ANEEL/BNDES/FINEP de apoio à inovação tecnológica no setor elétrico - Inova Energia - 01/2013;;;
Seleção Pública MCTI/FINEP/FNDCT - Subvenção Econômica à Inovação – TI MAIOR 04/2013;;;
Seleção Pública MCTI/FINEP/FNDCT - Subvenção Econômica à Inovação – 03/2013 - Nanotecnologia;;;
Seleção Pública MCTI/FINEP/FNDCT - Subvenção Econômica à Inovação - 02/2013 - Construção Sustentável e Saneamento Ambiental;;;
Seleção Pública MCTI/FINEP/FNDCT - Subvenção Econômica à Inovação – 01/2013 - Produtos Obtidos por Processos Biotecnológicos;;;
Chamada Pública MCTI/Finep/CT-Infra 01/2013;;;
Seleção Pública MCTI/FINEP/FNDCT - Subvenção Econômica à Inovação - 01/2012 - Tema: Tecnologia Assistiva;;;
Edital de seleção pública conjunta FINEP/BNDES de apoio à inovação tecnológica industrial no setor de petróleo & gás - Inova Petro - 01/2012;;;
Carta Convite MCT/Finep/Ação Transversal – Programa de Apoio à Inovação Tecnológica em Micro-Empresas e Empresas de Pequeno Porte - Tecnova 01/2012;;;
Chamada Pública MCT/Finep/FSA – PRODECINE – 03/2010;;;
PROGRAMA FINEP INOVAR FUNDOS - 13a CHAMADA INOVAR FUNDOS;;;
Chamada Pública MCTI/SECIS/Finep/FNDCT – Cooperação Empresa-ICT –Tecnologia Assistiva – 01/2011;;;
Chamada Pública MCTI/Finep/CT-INFRA - Proinfra – 01/2011;;;
PROGRAMA FINEP INOVAR FUNDOS - 12a CHAMADA INOVAR FUNDOS;;;
Plano de apoio à inovação tecnológica industrial dos setores sucroenergético e sucroquímico - PAISS;;;
Chamada Pública MCT/Finep/FSA – PRODECINE - 01/2010;;;
Chamada Pública MCT/Finep/CT-Infra - PROINFRA - 02/2010;;;
Carta Convite MCT/Finep/AT - PNI - Incubadoras  12/2010;;;
Chamada Pública MCT/Finep/AT - PNI - Parques Tecnológicos  11/2010;;;
Chamada Pública MCT/Finep/FSA – PRODECINE - 02/2010;;;
Chamada Pública MCT/Finep/FSA – PRODAV – 01/2010;;;
